nama_kabupaten_kota,tahun,kab/kota,keterangan,total
KABUPATEN BOGOR,2010-01-01,Bogor,Total Anak 0-23 Bulan,
KABUPATEN SUKABUMI,2010-01-01,Sukabumi,Total Anak 0-23 Bulan,
KABUPATEN CIANJUR,2010-01-01,Cianjur,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG,2010-01-01,Bandung,Total Anak 0-23 Bulan,
KABUPATEN GARUT,2010-01-01,Garut,Total Anak 0-23 Bulan,
KABUPATEN TASIKMALAYA,2010-01-01,Tasikmalaya,Total Anak 0-23 Bulan,
KABUPATEN CIAMIS,2010-01-01,Ciamis,Total Anak 0-23 Bulan,
KABUPATEN KUNINGAN,2010-01-01,Kuningan,Total Anak 0-23 Bulan,
KABUPATEN CIREBON,2010-01-01,Cirebon,Total Anak 0-23 Bulan,
KABUPATEN MAJALENGKA,2010-01-01,Majalengka,Total Anak 0-23 Bulan,
KABUPATEN SUMEDANG,2010-01-01,Sumedang,Total Anak 0-23 Bulan,
KABUPATEN INDRAMAYU,2010-01-01,Indramayu,Total Anak 0-23 Bulan,
KABUPATEN SUBANG,2010-01-01,Subang,Total Anak 0-23 Bulan,
KABUPATEN PURWAKARTA,2010-01-01,Purwakarta,Total Anak 0-23 Bulan,
KABUPATEN KARAWANG,2010-01-01,Karawang,Total Anak 0-23 Bulan,
KABUPATEN BEKASI,2010-01-01,Bekasi,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG BARAT,2010-01-01,Bandung Barat,Total Anak 0-23 Bulan,
KABUPATEN PANGANDARAN,2010-01-01,Pangandaran,Total Anak 0-23 Bulan,
KOTA BOGOR,2010-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2010-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2010-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2010-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2010-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2010-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2010-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2010-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2010-01-01,Kota Banjar,Total Anak 0-23 Bulan,
KABUPATEN BOGOR,2011-01-01,Bogor,Total Anak 0-23 Bulan,
KABUPATEN SUKABUMI,2011-01-01,Sukabumi,Total Anak 0-23 Bulan,
KABUPATEN CIANJUR,2011-01-01,Cianjur,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG,2011-01-01,Bandung,Total Anak 0-23 Bulan,
KABUPATEN GARUT,2011-01-01,Garut,Total Anak 0-23 Bulan,
KABUPATEN TASIKMALAYA,2011-01-01,Tasikmalaya,Total Anak 0-23 Bulan,
KABUPATEN CIAMIS,2011-01-01,Ciamis,Total Anak 0-23 Bulan,
KABUPATEN KUNINGAN,2011-01-01,Kuningan,Total Anak 0-23 Bulan,
KABUPATEN CIREBON,2011-01-01,Cirebon,Total Anak 0-23 Bulan,
KABUPATEN MAJALENGKA,2011-01-01,Majalengka,Total Anak 0-23 Bulan,
KABUPATEN SUMEDANG,2011-01-01,Sumedang,Total Anak 0-23 Bulan,
KABUPATEN INDRAMAYU,2011-01-01,Indramayu,Total Anak 0-23 Bulan,
KABUPATEN SUBANG,2011-01-01,Subang,Total Anak 0-23 Bulan,
KABUPATEN PURWAKARTA,2011-01-01,Purwakarta,Total Anak 0-23 Bulan,
KABUPATEN KARAWANG,2011-01-01,Karawang,Total Anak 0-23 Bulan,
KABUPATEN BEKASI,2011-01-01,Bekasi,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG BARAT,2011-01-01,Bandung Barat,Total Anak 0-23 Bulan,
KABUPATEN PANGANDARAN,2011-01-01,Pangandaran,Total Anak 0-23 Bulan,
KOTA BOGOR,2011-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2011-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2011-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2011-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2011-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2011-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2011-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2011-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2011-01-01,Kota Banjar,Total Anak 0-23 Bulan,
KABUPATEN BOGOR,2012-01-01,Bogor,Total Anak 0-23 Bulan,
KABUPATEN SUKABUMI,2012-01-01,Sukabumi,Total Anak 0-23 Bulan,
KABUPATEN CIANJUR,2012-01-01,Cianjur,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG,2012-01-01,Bandung,Total Anak 0-23 Bulan,
KABUPATEN GARUT,2012-01-01,Garut,Total Anak 0-23 Bulan,
KABUPATEN TASIKMALAYA,2012-01-01,Tasikmalaya,Total Anak 0-23 Bulan,
KABUPATEN CIAMIS,2012-01-01,Ciamis,Total Anak 0-23 Bulan,
KABUPATEN KUNINGAN,2012-01-01,Kuningan,Total Anak 0-23 Bulan,
KABUPATEN CIREBON,2012-01-01,Cirebon,Total Anak 0-23 Bulan,
KABUPATEN MAJALENGKA,2012-01-01,Majalengka,Total Anak 0-23 Bulan,
KABUPATEN SUMEDANG,2012-01-01,Sumedang,Total Anak 0-23 Bulan,
KABUPATEN INDRAMAYU,2012-01-01,Indramayu,Total Anak 0-23 Bulan,
KABUPATEN SUBANG,2012-01-01,Subang,Total Anak 0-23 Bulan,
KABUPATEN PURWAKARTA,2012-01-01,Purwakarta,Total Anak 0-23 Bulan,
KABUPATEN KARAWANG,2012-01-01,Karawang,Total Anak 0-23 Bulan,
KABUPATEN BEKASI,2012-01-01,Bekasi,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG BARAT,2012-01-01,Bandung Barat,Total Anak 0-23 Bulan,
KABUPATEN PANGANDARAN,2012-01-01,Pangandaran,Total Anak 0-23 Bulan,
KOTA BOGOR,2012-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2012-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2012-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2012-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2012-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2012-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2012-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2012-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2012-01-01,Kota Banjar,Total Anak 0-23 Bulan,
KABUPATEN BOGOR,2013-01-01,Bogor,Total Anak 0-23 Bulan,
KABUPATEN SUKABUMI,2013-01-01,Sukabumi,Total Anak 0-23 Bulan,
KABUPATEN CIANJUR,2013-01-01,Cianjur,Total Anak 0-23 Bulan,
KABUPATEN BANDUNG,2013-01-01,Bandung,Total Anak 0-23 Bulan,
KABUPATEN GARUT,2013-01-01,Garut,Total Anak 0-23 Bulan,
KABUPATEN TASIKMALAYA,2013-01-01,Tasikmalaya,Total Anak 0-23 Bulan,
KABUPATEN CIAMIS,2013-01-01,Ciamis,Total Anak 0-23 Bulan,
KABUPATEN KUNINGAN,2013-01-01,Kuningan,Total Anak 0-23 Bulan,
KABUPATEN CIREBON,2013-01-01,Cirebon,Total Anak 0-23 Bulan,
KABUPATEN MAJALENGKA,2013-01-01,Majalengka,Total Anak 0-23 Bulan,
KABUPATEN SUMEDANG,2013-01-01,Sumedang,Total Anak 0-23 Bulan,
