nama_kabupaten_kota,tahun,jumlah_anak_usia_0-23_bulan,jumlah_anak_0-23_terdaftar_jaminan_kesehatan,jumlah_anak_0-23_pertumbuhan_hijau,jumlah_anak_0-23_pertumbuhan_kuning,jumlah_anak_0-23_pertumbuhan_merah,jumlah_balita_stunting,persentase_balita_stunting,penemuan_kasus_pneumonia,kasus_pneumonia_berat,jumlah_kematian_kasus_pneumonia,jumlah_perkiraan_kasus_pneumonia,jumlah_balita_gizi_kurang_2019,jumlah_balita_kurus_2019,jumlah_balita_pendek_2019,jumlah_balita_gizi_kurang,kab/kota
KABUPATEN BOGOR,2010-01-01,,,,,,,,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2010-01-01,,,,,,,,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2010-01-01,,,,,,,,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2010-01-01,,,,,,,,,,,,,,,,Bandung
KABUPATEN GARUT,2010-01-01,,,,,,,,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2010-01-01,,,,,,,,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2010-01-01,,,,,,,,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2010-01-01,,,,,,,,,,,,,,,,Kuningan
KABUPATEN CIREBON,2010-01-01,,,,,,,,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2010-01-01,,,,,,,,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2010-01-01,,,,,,,,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2010-01-01,,,,,,,,,,,,,,,,Indramayu
KABUPATEN SUBANG,2010-01-01,,,,,,,,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2010-01-01,,,,,,,,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2010-01-01,,,,,,,,,,,,,,,,Karawang
KABUPATEN BEKASI,2010-01-01,,,,,,,,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2010-01-01,,,,,,,,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2010-01-01,,,,,,,,,,,,,,,,Pangandaran
KOTA BOGOR,2010-01-01,,,,,,,,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2010-01-01,,,,,,,,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2010-01-01,,,,,,,,,,,,,,,,Kota Bandung
KOTA CIREBON,2010-01-01,,,,,,,,,,,,,,,,Kota Cirebon
KOTA BEKASI,2010-01-01,,,,,,,,,,,,,,,,Kota Bekasi
KOTA DEPOK,2010-01-01,,,,,,,,,,,,,,,,Kota Depok
KOTA CIMAHI,2010-01-01,,,,,,,,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2010-01-01,,,,,,,,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2010-01-01,,,,,,,,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2011-01-01,,,,,,,,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2011-01-01,,,,,,,,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2011-01-01,,,,,,,,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2011-01-01,,,,,,,,,,,,,,,,Bandung
KABUPATEN GARUT,2011-01-01,,,,,,,,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2011-01-01,,,,,,,,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2011-01-01,,,,,,,,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2011-01-01,,,,,,,,,,,,,,,,Kuningan
KABUPATEN CIREBON,2011-01-01,,,,,,,,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2011-01-01,,,,,,,,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2011-01-01,,,,,,,,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2011-01-01,,,,,,,,,,,,,,,,Indramayu
KABUPATEN SUBANG,2011-01-01,,,,,,,,,,,,,,,,Subang
KABUPATEN PURWAKARTA,2011-01-01,,,,,,,,,,,,,,,,Purwakarta
KABUPATEN KARAWANG,2011-01-01,,,,,,,,,,,,,,,,Karawang
KABUPATEN BEKASI,2011-01-01,,,,,,,,,,,,,,,,Bekasi
KABUPATEN BANDUNG BARAT,2011-01-01,,,,,,,,,,,,,,,,Bandung Barat
KABUPATEN PANGANDARAN,2011-01-01,,,,,,,,,,,,,,,,Pangandaran
KOTA BOGOR,2011-01-01,,,,,,,,,,,,,,,,Kota Bogor
KOTA SUKABUMI,2011-01-01,,,,,,,,,,,,,,,,Kota Sukabumi
KOTA BANDUNG,2011-01-01,,,,,,,,,,,,,,,,Kota Bandung
KOTA CIREBON,2011-01-01,,,,,,,,,,,,,,,,Kota Cirebon
KOTA BEKASI,2011-01-01,,,,,,,,,,,,,,,,Kota Bekasi
KOTA DEPOK,2011-01-01,,,,,,,,,,,,,,,,Kota Depok
KOTA CIMAHI,2011-01-01,,,,,,,,,,,,,,,,Kota Cimahi
KOTA TASIKMALAYA,2011-01-01,,,,,,,,,,,,,,,,Kota Tasikmalaya
KOTA BANJAR,2011-01-01,,,,,,,,,,,,,,,,Kota Banjar
KABUPATEN BOGOR,2012-01-01,,,,,,,,,,,,,,,,Bogor
KABUPATEN SUKABUMI,2012-01-01,,,,,,,,,,,,,,,,Sukabumi
KABUPATEN CIANJUR,2012-01-01,,,,,,,,,,,,,,,,Cianjur
KABUPATEN BANDUNG,2012-01-01,,,,,,,,,,,,,,,,Bandung
KABUPATEN GARUT,2012-01-01,,,,,,,,,,,,,,,,Garut
KABUPATEN TASIKMALAYA,2012-01-01,,,,,,,,,,,,,,,,Tasikmalaya
KABUPATEN CIAMIS,2012-01-01,,,,,,,,,,,,,,,,Ciamis
KABUPATEN KUNINGAN,2012-01-01,,,,,,,,,,,,,,,,Kuningan
KABUPATEN CIREBON,2012-01-01,,,,,,,,,,,,,,,,Cirebon
KABUPATEN MAJALENGKA,2012-01-01,,,,,,,,,,,,,,,,Majalengka
KABUPATEN SUMEDANG,2012-01-01,,,,,,,,,,,,,,,,Sumedang
KABUPATEN INDRAMAYU,2012-01-01,,,,,,,,,,,,,,,,Indramayu
