nama_kabupaten_kota,tahun,kab/kota,keterangan,total
KABUPATEN BOGOR,2010-01-01,Bogor,Gizi Kurang,
KABUPATEN SUKABUMI,2010-01-01,Sukabumi,Gizi Kurang,
KABUPATEN CIANJUR,2010-01-01,Cianjur,Gizi Kurang,
KABUPATEN BANDUNG,2010-01-01,Bandung,Gizi Kurang,
KABUPATEN GARUT,2010-01-01,Garut,Gizi Kurang,
KABUPATEN TASIKMALAYA,2010-01-01,Tasikmalaya,Gizi Kurang,
KABUPATEN CIAMIS,2010-01-01,Ciamis,Gizi Kurang,
KABUPATEN KUNINGAN,2010-01-01,Kuningan,Gizi Kurang,
KABUPATEN CIREBON,2010-01-01,Cirebon,Gizi Kurang,
KABUPATEN MAJALENGKA,2010-01-01,Majalengka,Gizi Kurang,
KABUPATEN SUMEDANG,2010-01-01,Sumedang,Gizi Kurang,
KABUPATEN INDRAMAYU,2010-01-01,Indramayu,Gizi Kurang,
KABUPATEN SUBANG,2010-01-01,Subang,Gizi Kurang,
KABUPATEN PURWAKARTA,2010-01-01,Purwakarta,Gizi Kurang,
KABUPATEN KARAWANG,2010-01-01,Karawang,Gizi Kurang,
KABUPATEN BEKASI,2010-01-01,Bekasi,Gizi Kurang,
KABUPATEN BANDUNG BARAT,2010-01-01,Bandung Barat,Gizi Kurang,
KABUPATEN PANGANDARAN,2010-01-01,Pangandaran,Gizi Kurang,
KOTA BOGOR,2010-01-01,Kota Bogor,Gizi Kurang,
KOTA SUKABUMI,2010-01-01,Kota Sukabumi,Gizi Kurang,
KOTA BANDUNG,2010-01-01,Kota Bandung,Gizi Kurang,
KOTA CIREBON,2010-01-01,Kota Cirebon,Gizi Kurang,
KOTA BEKASI,2010-01-01,Kota Bekasi,Gizi Kurang,
KOTA DEPOK,2010-01-01,Kota Depok,Gizi Kurang,
KOTA CIMAHI,2010-01-01,Kota Cimahi,Gizi Kurang,
KOTA TASIKMALAYA,2010-01-01,Kota Tasikmalaya,Gizi Kurang,
KOTA BANJAR,2010-01-01,Kota Banjar,Gizi Kurang,
KABUPATEN BOGOR,2011-01-01,Bogor,Gizi Kurang,
KABUPATEN SUKABUMI,2011-01-01,Sukabumi,Gizi Kurang,
KABUPATEN CIANJUR,2011-01-01,Cianjur,Gizi Kurang,
KABUPATEN BANDUNG,2011-01-01,Bandung,Gizi Kurang,
KABUPATEN GARUT,2011-01-01,Garut,Gizi Kurang,
KABUPATEN TASIKMALAYA,2011-01-01,Tasikmalaya,Gizi Kurang,
KABUPATEN CIAMIS,2011-01-01,Ciamis,Gizi Kurang,
KABUPATEN KUNINGAN,2011-01-01,Kuningan,Gizi Kurang,
KABUPATEN CIREBON,2011-01-01,Cirebon,Gizi Kurang,
KABUPATEN MAJALENGKA,2011-01-01,Majalengka,Gizi Kurang,
KABUPATEN SUMEDANG,2011-01-01,Sumedang,Gizi Kurang,
KABUPATEN INDRAMAYU,2011-01-01,Indramayu,Gizi Kurang,
KABUPATEN SUBANG,2011-01-01,Subang,Gizi Kurang,
KABUPATEN PURWAKARTA,2011-01-01,Purwakarta,Gizi Kurang,
KABUPATEN KARAWANG,2011-01-01,Karawang,Gizi Kurang,
KABUPATEN BEKASI,2011-01-01,Bekasi,Gizi Kurang,
KABUPATEN BANDUNG BARAT,2011-01-01,Bandung Barat,Gizi Kurang,
KABUPATEN PANGANDARAN,2011-01-01,Pangandaran,Gizi Kurang,
KOTA BOGOR,2011-01-01,Kota Bogor,Gizi Kurang,
KOTA SUKABUMI,2011-01-01,Kota Sukabumi,Gizi Kurang,
KOTA BANDUNG,2011-01-01,Kota Bandung,Gizi Kurang,
KOTA CIREBON,2011-01-01,Kota Cirebon,Gizi Kurang,
KOTA BEKASI,2011-01-01,Kota Bekasi,Gizi Kurang,
KOTA DEPOK,2011-01-01,Kota Depok,Gizi Kurang,
KOTA CIMAHI,2011-01-01,Kota Cimahi,Gizi Kurang,
KOTA TASIKMALAYA,2011-01-01,Kota Tasikmalaya,Gizi Kurang,
KOTA BANJAR,2011-01-01,Kota Banjar,Gizi Kurang,
KABUPATEN BOGOR,2012-01-01,Bogor,Gizi Kurang,
KABUPATEN SUKABUMI,2012-01-01,Sukabumi,Gizi Kurang,
KABUPATEN CIANJUR,2012-01-01,Cianjur,Gizi Kurang,
KABUPATEN BANDUNG,2012-01-01,Bandung,Gizi Kurang,
KABUPATEN GARUT,2012-01-01,Garut,Gizi Kurang,
KABUPATEN TASIKMALAYA,2012-01-01,Tasikmalaya,Gizi Kurang,
KABUPATEN CIAMIS,2012-01-01,Ciamis,Gizi Kurang,
KABUPATEN KUNINGAN,2012-01-01,Kuningan,Gizi Kurang,
KABUPATEN CIREBON,2012-01-01,Cirebon,Gizi Kurang,
KABUPATEN MAJALENGKA,2012-01-01,Majalengka,Gizi Kurang,
KABUPATEN SUMEDANG,2012-01-01,Sumedang,Gizi Kurang,
KABUPATEN INDRAMAYU,2012-01-01,Indramayu,Gizi Kurang,
KABUPATEN SUBANG,2012-01-01,Subang,Gizi Kurang,
KABUPATEN PURWAKARTA,2012-01-01,Purwakarta,Gizi Kurang,
KABUPATEN KARAWANG,2012-01-01,Karawang,Gizi Kurang,
KABUPATEN BEKASI,2012-01-01,Bekasi,Gizi Kurang,
KABUPATEN BANDUNG BARAT,2012-01-01,Bandung Barat,Gizi Kurang,
KABUPATEN PANGANDARAN,2012-01-01,Pangandaran,Gizi Kurang,
KOTA BOGOR,2012-01-01,Kota Bogor,Gizi Kurang,
KOTA SUKABUMI,2012-01-01,Kota Sukabumi,Gizi Kurang,
KOTA BANDUNG,2012-01-01,Kota Bandung,Gizi Kurang,
KOTA CIREBON,2012-01-01,Kota Cirebon,Gizi Kurang,
KOTA BEKASI,2012-01-01,Kota Bekasi,Gizi Kurang,
KOTA DEPOK,2012-01-01,Kota Depok,Gizi Kurang,
KOTA CIMAHI,2012-01-01,Kota Cimahi,Gizi Kurang,
KOTA TASIKMALAYA,2012-01-01,Kota Tasikmalaya,Gizi Kurang,
KOTA BANJAR,2012-01-01,Kota Banjar,Gizi Kurang,
KABUPATEN BOGOR,2013-01-01,Bogor,Gizi Kurang,
KABUPATEN SUKABUMI,2013-01-01,Sukabumi,Gizi Kurang,
KABUPATEN CIANJUR,2013-01-01,Cianjur,Gizi Kurang,
KABUPATEN BANDUNG,2013-01-01,Bandung,Gizi Kurang,
KABUPATEN GARUT,2013-01-01,Garut,Gizi Kurang,
KABUPATEN TASIKMALAYA,2013-01-01,Tasikmalaya,Gizi Kurang,
KABUPATEN CIAMIS,2013-01-01,Ciamis,Gizi Kurang,
KABUPATEN KUNINGAN,2013-01-01,Kuningan,Gizi Kurang,
KABUPATEN CIREBON,2013-01-01,Cirebon,Gizi Kurang,
KABUPATEN MAJALENGKA,2013-01-01,Majalengka,Gizi Kurang,
KABUPATEN SUMEDANG,2013-01-01,Sumedang,Gizi Kurang,
KABUPATEN INDRAMAYU,2013-01-01,Indramayu,Gizi Kurang,
KABUPATEN SUBANG,2013-01-01,Subang,Gizi Kurang,
KABUPATEN PURWAKARTA,2013-01-01,Purwakarta,Gizi Kurang,
KABUPATEN KARAWANG,2013-01-01,Karawang,Gizi Kurang,
KABUPATEN BEKASI,2013-01-01,Bekasi,Gizi Kurang,
KABUPATEN BANDUNG BARAT,2013-01-01,Bandung Barat,Gizi Kurang,
KABUPATEN PANGANDARAN,2013-01-01,Pangandaran,Gizi Kurang,
KOTA BOGOR,2013-01-01,Kota Bogor,Gizi Kurang,
KOTA SUKABUMI,2013-01-01,Kota Sukabumi,Gizi Kurang,
KOTA BANDUNG,2013-01-01,Kota Bandung,Gizi Kurang,
KOTA CIREBON,2013-01-01,Kota Cirebon,Gizi Kurang,
KOTA BEKASI,2013-01-01,Kota Bekasi,Gizi Kurang,
KOTA DEPOK,2013-01-01,Kota Depok,Gizi Kurang,
