nama_kabupaten_kota,tahun,kab/kota,keterangan,total
KABUPATEN BOGOR,2010-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2010-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2010-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2010-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2010-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2010-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2010-01-01,Ciamis,Penemuan Kasus Pneumonia,
KABUPATEN KUNINGAN,2010-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2010-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2010-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2010-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2010-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2010-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2010-01-01,Purwakarta,Penemuan Kasus Pneumonia,
KABUPATEN KARAWANG,2010-01-01,Karawang,Penemuan Kasus Pneumonia,
KABUPATEN BEKASI,2010-01-01,Bekasi,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG BARAT,2010-01-01,Bandung Barat,Penemuan Kasus Pneumonia,
KABUPATEN PANGANDARAN,2010-01-01,Pangandaran,Penemuan Kasus Pneumonia,
KOTA BOGOR,2010-01-01,Kota Bogor,Penemuan Kasus Pneumonia,
KOTA SUKABUMI,2010-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,
KOTA BANDUNG,2010-01-01,Kota Bandung,Penemuan Kasus Pneumonia,
KOTA CIREBON,2010-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,
KOTA BEKASI,2010-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,
KOTA DEPOK,2010-01-01,Kota Depok,Penemuan Kasus Pneumonia,
KOTA CIMAHI,2010-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,
KOTA TASIKMALAYA,2010-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,
KOTA BANJAR,2010-01-01,Kota Banjar,Penemuan Kasus Pneumonia,
KABUPATEN BOGOR,2011-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2011-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2011-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2011-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2011-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2011-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2011-01-01,Ciamis,Penemuan Kasus Pneumonia,
