nama_kabupaten_kota,kab/kota,tahun,keterangan,total
KABUPATEN BOGOR,Bogor,2010-01-01,Balita Stunting,
KABUPATEN SUKABUMI,Sukabumi,2010-01-01,Balita Stunting,
KABUPATEN CIANJUR,Cianjur,2010-01-01,Balita Stunting,
KABUPATEN BANDUNG,Bandung,2010-01-01,Balita Stunting,
KABUPATEN GARUT,Garut,2010-01-01,Balita Stunting,
KABUPATEN TASIKMALAYA,Tasikmalaya,2010-01-01,Balita Stunting,
KABUPATEN CIAMIS,Ciamis,2010-01-01,Balita Stunting,
KABUPATEN KUNINGAN,Kuningan,2010-01-01,Balita Stunting,
KABUPATEN CIREBON,Cirebon,2010-01-01,Balita Stunting,
KABUPATEN MAJALENGKA,Majalengka,2010-01-01,Balita Stunting,
KABUPATEN SUMEDANG,Sumedang,2010-01-01,Balita Stunting,
KABUPATEN INDRAMAYU,Indramayu,2010-01-01,Balita Stunting,
KABUPATEN SUBANG,Subang,2010-01-01,Balita Stunting,
KABUPATEN PURWAKARTA,Purwakarta,2010-01-01,Balita Stunting,
KABUPATEN KARAWANG,Karawang,2010-01-01,Balita Stunting,
KABUPATEN BEKASI,Bekasi,2010-01-01,Balita Stunting,
KABUPATEN BANDUNG BARAT,Bandung Barat,2010-01-01,Balita Stunting,
KABUPATEN PANGANDARAN,Pangandaran,2010-01-01,Balita Stunting,
KOTA BOGOR,Kota Bogor,2010-01-01,Balita Stunting,
KOTA SUKABUMI,Kota Sukabumi,2010-01-01,Balita Stunting,
KOTA BANDUNG,Kota Bandung,2010-01-01,Balita Stunting,
KOTA CIREBON,Kota Cirebon,2010-01-01,Balita Stunting,
KOTA BEKASI,Kota Bekasi,2010-01-01,Balita Stunting,
KOTA DEPOK,Kota Depok,2010-01-01,Balita Stunting,
KOTA CIMAHI,Kota Cimahi,2010-01-01,Balita Stunting,
KOTA TASIKMALAYA,Kota Tasikmalaya,2010-01-01,Balita Stunting,
KOTA BANJAR,Kota Banjar,2010-01-01,Balita Stunting,
KABUPATEN BOGOR,Bogor,2011-01-01,Balita Stunting,
KABUPATEN SUKABUMI,Sukabumi,2011-01-01,Balita Stunting,
KABUPATEN CIANJUR,Cianjur,2011-01-01,Balita Stunting,
KABUPATEN BANDUNG,Bandung,2011-01-01,Balita Stunting,
KABUPATEN GARUT,Garut,2011-01-01,Balita Stunting,
KABUPATEN TASIKMALAYA,Tasikmalaya,2011-01-01,Balita Stunting,
KABUPATEN CIAMIS,Ciamis,2011-01-01,Balita Stunting,
KABUPATEN KUNINGAN,Kuningan,2011-01-01,Balita Stunting,
KABUPATEN CIREBON,Cirebon,2011-01-01,Balita Stunting,
KABUPATEN MAJALENGKA,Majalengka,2011-01-01,Balita Stunting,
KABUPATEN SUMEDANG,Sumedang,2011-01-01,Balita Stunting,
KABUPATEN INDRAMAYU,Indramayu,2011-01-01,Balita Stunting,
KABUPATEN SUBANG,Subang,2011-01-01,Balita Stunting,
KABUPATEN PURWAKARTA,Purwakarta,2011-01-01,Balita Stunting,
KABUPATEN KARAWANG,Karawang,2011-01-01,Balita Stunting,
KABUPATEN BEKASI,Bekasi,2011-01-01,Balita Stunting,
KABUPATEN BANDUNG BARAT,Bandung Barat,2011-01-01,Balita Stunting,
KABUPATEN PANGANDARAN,Pangandaran,2011-01-01,Balita Stunting,
KOTA BOGOR,Kota Bogor,2011-01-01,Balita Stunting,
KOTA SUKABUMI,Kota Sukabumi,2011-01-01,Balita Stunting,
KOTA BANDUNG,Kota Bandung,2011-01-01,Balita Stunting,
KOTA CIREBON,Kota Cirebon,2011-01-01,Balita Stunting,
KOTA BEKASI,Kota Bekasi,2011-01-01,Balita Stunting,
KOTA DEPOK,Kota Depok,2011-01-01,Balita Stunting,
KOTA CIMAHI,Kota Cimahi,2011-01-01,Balita Stunting,
KOTA TASIKMALAYA,Kota Tasikmalaya,2011-01-01,Balita Stunting,
KOTA BANJAR,Kota Banjar,2011-01-01,Balita Stunting,
KABUPATEN BOGOR,Bogor,2012-01-01,Balita Stunting,
KABUPATEN SUKABUMI,Sukabumi,2012-01-01,Balita Stunting,
KABUPATEN CIANJUR,Cianjur,2012-01-01,Balita Stunting,
KABUPATEN BANDUNG,Bandung,2012-01-01,Balita Stunting,
KABUPATEN GARUT,Garut,2012-01-01,Balita Stunting,
KABUPATEN TASIKMALAYA,Tasikmalaya,2012-01-01,Balita Stunting,
KABUPATEN CIAMIS,Ciamis,2012-01-01,Balita Stunting,
KABUPATEN KUNINGAN,Kuningan,2012-01-01,Balita Stunting,
KABUPATEN CIREBON,Cirebon,2012-01-01,Balita Stunting,
KABUPATEN MAJALENGKA,Majalengka,2012-01-01,Balita Stunting,
KABUPATEN SUMEDANG,Sumedang,2012-01-01,Balita Stunting,
KABUPATEN INDRAMAYU,Indramayu,2012-01-01,Balita Stunting,
KABUPATEN SUBANG,Subang,2012-01-01,Balita Stunting,
KABUPATEN PURWAKARTA,Purwakarta,2012-01-01,Balita Stunting,
KABUPATEN KARAWANG,Karawang,2012-01-01,Balita Stunting,
KABUPATEN BEKASI,Bekasi,2012-01-01,Balita Stunting,
KABUPATEN BANDUNG BARAT,Bandung Barat,2012-01-01,Balita Stunting,
KABUPATEN PANGANDARAN,Pangandaran,2012-01-01,Balita Stunting,
KOTA BOGOR,Kota Bogor,2012-01-01,Balita Stunting,
KOTA SUKABUMI,Kota Sukabumi,2012-01-01,Balita Stunting,
KOTA BANDUNG,Kota Bandung,2012-01-01,Balita Stunting,
KOTA CIREBON,Kota Cirebon,2012-01-01,Balita Stunting,
KOTA BEKASI,Kota Bekasi,2012-01-01,Balita Stunting,
KOTA DEPOK,Kota Depok,2012-01-01,Balita Stunting,
KOTA CIMAHI,Kota Cimahi,2012-01-01,Balita Stunting,
KOTA TASIKMALAYA,Kota Tasikmalaya,2012-01-01,Balita Stunting,
KOTA BANJAR,Kota Banjar,2012-01-01,Balita Stunting,
KABUPATEN BOGOR,Bogor,2013-01-01,Balita Stunting,
KABUPATEN SUKABUMI,Sukabumi,2013-01-01,Balita Stunting,
